country,suicideRank,total,male,female,totalNumber
saint lucia,95,7.8,13.5,2.2,14
burkina faso,96,7.7,10.2,5.3,1521
central african republic,97,7.7,11.5,4,359
malta,98,7.5,12.1,2.8,33
uzbekistan,99,7.4,9.9,4.8,2403
turkey,100,7.3,11.4,3.3,6011
vietnam,101,7.3,10.9,3.7,
colombia,102,7.2,11.6,2.8,3576
ethiopia,103,7.2,11.2,3.1,7864
ecuador,104,7.1,10.3,3.9,1213
gabon,105,7.1,10.7,3.2,150
comoros,106,6.8,9.9,3.6,57
liberia,107,6.8,7.1,6.6,328
djibouti,108,6.7,9,4.3,64
rwanda,109,6.7,9.7,3.8,824
turkmenistan,110,6.7,10.1,3.5,392
armenia,111,6.6,10.8,2.8,195
qatar,112,6.6,8.5,0.9,184
brazil,113,6.5,10,3.1,13616
albania,114,6.3,7.9,4.7,182
guinea,115,6.3,7.5,5,782
zambia,116,6.1,8.8,3.5,1058
papua new guinea,117,6,8.6,3.3,516
senegal,118,6,9.3,2.9,951
bahrain,119,5.9,8.4,1.9,93
bangladesh,120,5.9,4.7,7,9521
Republic of the congo,121,5.9,8.4,3.3,
DR congo,122,5.7,8.4,2.9,
malaysia,123,5.5,7.8,3.2,1734
ghana,124,5.4,8.7,2.1,1607
israel,125,5.4,8.1,2.7,453
tanzania,126,5.4,7.7,3.2,
cambodia,127,5.3,7.8,2.9,861
cyprus,128,5.3,8.2,2.3,63
libya,129,5.2,8.1,2.2,347
gambia,130,5.1,6.6,3.7,116
mexico,131,5.1,8,2.3,6436
fiji,132,5,7.5,2.4,44
greece,133,5,8.1,2,526
mozambique,134,4.9,7.4,2.5,1445
peru,135,4.9,7.2,2.7,1567
mali,136,4.8,6.9,2.7,916
afghanistan,137,4.7,7.6,1.5,1747
angola,138,4.7,7,2.5,1448
belize,139,4.7,7.9,1.6,18
solomon islands,140,4.7,6.8,2.6,31
somalia,141,4.7,6.3,3.1,705
brunei,142,4.6,6.4,2.7,
niger,143,4.6,5.9,3.3,1032
timor-leste,144,4.6,6.2,2.9,58
vanuatu,145,4.5,6.6,2.2,13
mauritania,146,4.4,6.6,2.2,194
samoa,147,4.4,6.7,1.9,9
panama,148,4.3,7.4,1.2,180
iran,149,4.1,5,3.1,
egypt,150,4,6.4,1.5,3937
guinea-bissau,151,4,4.7,3.3,75
madagascar,152,3.9,5.6,2.2,1024
oman,153,3.9,5.6,0.8,188
malawi,154,3.7,5.8,1.6,671
south sudan,155,3.7,4.9,2.6,406
venezuela,156,3.7,6.3,1.1,
tonga,157,3.5,4.3,2.7,4
indonesia,158,3.4,4.8,2,9101
tunisia,159,3.4,4.4,2.3,393
lebanon,160,3.3,4.2,2.4,226
algeria,161,3.2,4.7,1.7,1351
kenya,162,3.2,5.1,1.2,1645
philippines,163,3.2,4.3,2,3413
saudi arabia,164,3.2,4.5,1.5,1078
iraq,165,3,3.4,2.6,1153
honduras,166,2.9,4.4,1.5,278
jordan,167,2.9,3.6,2.2,289
morocco,168,2.9,2.3,3.4,1045
pakistan,169,2.9,2.7,3,6155
united arab emirates,170,2.8,3.6,0.7,270
guatemala,171,2.7,3.7,1.8,466
azerbaijan,172,2.6,4.2,1.1,259
tajikistan,173,2.5,3.7,1.3,228
saint vincent and the grenadines,174,2.4,3.9,0.9,3
kuwait,175,2.3,2.8,1.7,95
maldives,176,2.3,3,1.3,12
sao tome and principe,177,2.3,3,1.6,5
jamaica,178,2.2,3.3,1,65
syria,179,1.9,2.9,0.9,
bahamas,180,1.7,3,0.5,7
grenada,181,1.7,1.5,1.9,2
barbados,182,0.8,1,0.5,2
antigua and barbuda,183,0.5,0,0.9,0
